"Which one do you prefer?"
"1A"
"1B"
"1A"
"1B"
"1A"
"1A"
"1B"
"1B"
"1A"
"1A"
"1A"
"1A"
"1B"
"1A"
"1A"
"1A"
"1A"
"1A"
"1A"
"1A"
"1B"
"1B"
"1B"
"1B"
"1A"
"1A"
"1A"
"1B"
"1B"
"1B"
"1A"
"1A"
"1A"
"1A"
"1B"
"1A"
"1B"
"1A"
"1A"
"1A"
"1A"
