"Which one do you prefer?"
"3B"
"3C"
"3A"
"3C"
"3A"
"3C"
"3C"
"3C"
"3C"
"3B"
"3B"
"3C"
"3B"
"3C"
"3C"
"3C"
"3C"
"3B"
"3C"
"3C"
"3B"
"3C"
"3B"
"3C"
"3B"
"3A"
"3A"
"3C"
"3B"
"3A"
"3B"
"3C"
"3C"
"3B"
"3C"
"3C"
"3C"
"3C"
"3B"
"3B"
"3B"
