Did you prefer burger 1A or 1B?;Did you prefer burger 2A or 2B?;Did you prefer burger 3A or 3B?
B;A;B
B;A;A
B;B;A
A;A;A
B;A;A
B;A;A
A;A;A
B;A;A
B;A;A
B;A;B
B;A;B
B;A;B
B;B;B
B;A;B
A;B;A
A;B;A
B;A;B
B;A;B
A;A;A
B;B;A
B;B;A
B;A;A
B;A;B
B;A;B
A;B;A
A;A;A
B;A;A
B;A;A
