Did you prefer burger 2A or 2B?
2A
2A
2B
2A
2A
2A
2A
2A
2A
2A
2A
2A
2B
2A
2B
2B
2A
2A
2A
2B
2B
2A
2A
2A
2B
2A
2A
2A
