Did you prefer burger 1A or 1B?
1B
1B
1B
1A
1B
1B
1A
1B
1B
1B
1B
1B
1B
1B
1A
1A
1B
1B
1A
1B
1B
1B
1B
1B
1A
1A
1B
1B
